mans,rus,note
ётыл,позже,
ё̄хсалыглаӈкве,поворачиваться,
ё̄хсалыглаӈкве,кружиться,
ё̄хсуӈкве,вертеться,
ёхтала̄луӈкве,являться,
ёхталаӈкве,приходить,
ёхталаӈкве,приезжать,
ёхтуӈкве,прийти,
ёхтуӈкве,приехать,
ёхтыгпаӈкве,прийти,быстро
ёхул,юкола,вяленая рыба
иӈ,ещё,
иӈ,даже,
иксям,нечистый,поганый
иксямтаӈкве,брезговать,
илттыг,вдруг,
илттыг,внезапно,
илттыг,неожиданно,
инар,седло,
инартаӈкве,оседлать,лошадь
ис,душа,
исвеся,свеча,
исгасьлаӈкве,перелетать,о птице
исмит,суп,
исмит,уха,
исмит,похлёбка,
исуӈкве,сесть,
исуӈкве,приземлиться,о птице
исхор,тень,
исыгла̄луӈкве,нагреваться,
исыглаӈкве,нагреться,
исылта̄луӈкве,греть,
исылта̄луӈкве,обогревать,
исылта̄нтуӈкве,подогревать,
исылтахтуӈкве,греться,
исылтахтуӈкве,обогреваться,
исылтаӈкве,согреть,
исылтаӈкве,обогреть,
ит,скорость,
ит,быстрота,
ит,резвость,
итуӈкве,перепрыгивать с ветки на ветку,о белке
итыӈ,скорый,
итыӈ,быстрый,
итыӈ,резвый,
итыӈысь,упорно,
итыӈысь,энергично,
иӈыт,ещё неа̄сюм иӈыт ёхты отец ещё не приехал,
ӯй,зверь,
ӯй ка̄т,передняя лапа зверя,
ӯй ла̄гыл,задняя лапа зверя,
ӯй-хул,зверь,
ӯй-хул,животное,
йӣв,дерево,
йӣво̄выл,палочка,
йӣвсуп,обрубок дерева,
йӣвсуп,чурбан,
йӣвта̄л,безлесный,
йӣвхастул,заноза,
йиӈкве,идти,
йиӈкве,ехать,
йиӈкве,лететь,по направлению к говорящему
йигирись,сестрёнка,
йиймыгтаӈкве,начать двигаться,сюда
йильпи,новый,
йильпи,свежий,
йинсахтуӈкве,заниматься кройкой,
йинсуӈкве,скроить,
йинуӈкве,кроить,
йипыг,филин,
йир,рел.жертва,
йирхатуӈкве,приносить жертву,
йис,древний,о времени
йисинта̄луӈкве,идти,
йисинта̄луӈкве,ехать,многократно
йисинтаӈкве,идти,
йисинтаӈкве,ехать,иногда
йӣкв,танец,
йӣкв,пляска,
йӣквасьлаӈкве,приплясывать,
йӣквасьлаӈкве,пританцовывать,
йӣквуӈкве,плясать,
йӣквуӈкве,танцевать,
ӯйрись,птичка,
ӯйрись кол,клетка,для птиц
ӯйттуӈкве,погрузить в воду,
ӯйттуӈкве,утопить,
ка̄кв,кашель,
ка̄квасаӈкве,кашлянуть,
ка̄квуӈкве,кашлять,
ка̄лась,калач,
ка̄лась,баранка,
ка̄ль-нёхыс,соболь-самка,
ка̄ль-охсар,лисица-самка,
ка̄миньт,мягкий,
ка̄миньт,рыхлый,
ка̄мнямаӈкве,размякнуть,
ка̄мнямтаӈкве,размять,
ка̄мнямтаӈкве,разрыхлить,
ка̄ньсюӈкве,сохнуть,о деревянном предмете
ка̄рай,стерлядь,
ка̄ралаӈкве,ковырять,
ка̄рвыльтан хо̄тпа,сторож,
ка̄рвыльтаӈкве,сторожить,
ка̄рвыльтаӈкве,караулить,
ка̄ркам,трудолюбивый,
ка̄рта,ограда,
ка̄рта,двор,
ка̄ртуӈкве,неметь,
ка̄ртуӈкве,мертветь,
ка̄с ва̄руӈкве,веселиться,
ка̄сала̄лыглаӈкве,замечать,взором
ка̄салаӈкве,заметить,
ка̄салаӈкве,увидеть,
ка̄сася̄лыглаӈкве,соглашаться,
ка̄сасятта̄л,нехотя,
ка̄сасятта̄л,невольно,
ка̄сасяӈкве,согласиться,
ка̄смуста̄л,унылый,
ка̄смуста̄л,скучный,
ка̄снакол,тюрьма,
ка̄ста̄л,грустный,
ка̄ста̄л,печальный,
ка̄ста̄лва̄руӈкве,огорчить,
ка̄ста̄ло̄луӈкве,грустить,
ка̄ста̄ло̄луӈкве,печалиться,
ка̄ста̄лпатапаӈкве,приуныть,
ка̄ста̄лпатапаӈкве,взгрустнуть,
ка̄ста̄лпатуӈкве,стать грустным,
ка̄ста̄лпатуӈкве,унылым,
ка̄стамта̄лыглаӈкве,надоедать,
ка̄стамта̄лыглаӈкве,скучать,
ка̄стамтаӈкве,надоесть,
ка̄стамтаӈкве,соскучиться,
ка̄стыл,призыв,
ка̄сыӈ,каждый,
ка̄сыӈ,всякий,
ка̄сыӈ,любой,
ка̄сыӈысь,весело,
ка̄т,рука,
ка̄тн-паттала̄луӈкве,приобретать,
ка̄тн-паттуӈкве,достать,
ка̄тн-паттуӈкве,добыть,табу
ка̄тн-патуӈкве,попасться,
ка̄тпа̄сыглап,шило,
ка̄тпал,однорукий,
ка̄тпатта,ладонь,
ка̄тпос,подпись,
ка̄тсор,запястье,
ка̄тсув,посох,
ка̄тта̄л,безрукий,
ка̄ттуп,рулевое весло,
ка̄тхопи,кисть руки,
ка̄тхуӈари,горсть,
ка̄тыл,вручную,
каӈк,старший брат,
каӈк,дядя,"по отцовской линии, младший брат отца"
какыр,грудь,
какыр,живот,"внутри, изнутри"
калсялтаӈкве,отвлекать,
калсялтаӈкве,манить,
кальгил,зуд,
кальгил,чёс,
камка,морда,рыболовная
кан,площадь,
кан,место,
канась,князь,
кант,зло,
кантлуптаӈкве,рассердить,
кантлуптаӈкве,разозлить,
кантлуӈкве,сердиться,
кантлуӈкве,злиться,
кантмалта̄лыглаӈкве,сердить,
кантмалта̄лыглаӈкве,злить,
кантмалтахтуӈкве,поссориться,
кантмалтаӈкве,разозлить,
кантмалтаӈкве,рассердить,
кантмаяӈкве,разозлиться,
кантмаяӈкве,рассердиться,
кантмуӈкве,рассердиться,
кантыӈ,сердитый,
кантыӈ,злой,
капыртаӈкве,возиться,
капыртаӈкве,баловаться,
кар,чёрный дятел,
каргалтахтуӈкве,зарычать,
каргуӈкве,рычать,
карссатаптуӈкве,задеть,
карссатаптуӈкве,коснуться,
карссыт,рост,величина
карссыт,высота,
карыс,высокий,
кас,соревнование,
кас,состязание,
касай,нож,
каскан,блесна,
каскан,ловушка,
кастуӈкве,закрыться платком,о женщине
касуӈкве,состязаться,
касуӈкве,соревноваться,
касыр,карты,игральные)
касырлаӈкве,играть в карты,
кась,младший брат,
кати,кошка,
каткасы,синица,
каюӈкве,баловаться,
каюӈкве,возиться,
кӣврыӈ,глубокий,о посуде
кӣвталап,брусок,
кӣвталап,точило,
кӣвтуӈкве,точить,
кӣвтхатуӈкве,точить,
кӣвыр,сосуд,
кӯвысь,гусь,меховая одежда поверх малицы
ква̄лтапаӈкве,вспугнуть,
ква̄лумпа̄л,левый,
ква̄лумпа̄лн,влево,
ква̄лумпа̄лт,слева,
ква̄луӈкве,встать,
ква̄лыг,верёвка,
ква̄рак,связка,
ква̄ракта̄нтуӈкве,нанизывать,
ква̄рактаӈкве,нанизать,
ке̄лаяӈкве,алеть,о закате
ке̄ллуӈкве,красить,
ке̄лп,кровь,
ке̄лппил,смородина,красная
ке̄лпта̄рс,кровеносный сосуд,
ке̄лпхарпа,тёмно-красный,
ке̄лпыӈ,кровавый,
ке̄лыг,болото,сплошь покрытое водой
ке̄мплы,пола,одежды
ке̄нс,меховой чулок,
ке̄нт,шапка,
ке̄нт,шляпа,
ке̄р,железо,
ке̄р ва̄рнэ кол,кузница,
ке̄р ва̄рнэ хум,кузнец,
ке̄рас,утёс,
ке̄рас,скала,
ке̄расыӈ,скалистый,
ке̄ркат,клещи,
ке̄рква̄лыг,проволока,
ке̄рлё̄х,железная дорога,
ке̄рняль,капкан,
ке̄рсалаӈкве,запрягать,
ке̄рсоль,гвоздь,железный
ке̄рсьсиӈ,шершавый,
ке̄рсьсиӈ,шероховатый,
ке̄рсяк,молоток,
ке̄рта̄н,проволока,
ке̄руӈкве,запрячь,
ке̄рыгла̄луӈкве,запрягать,
ке̄рыӈ хомлах,жук,
ке̄тапаӈкве,отослать,быстро
ке̄туӈкве,послать,
ке̄тыгла̄луӈкве,посылать,
ке̄ӈын,застёжка,на одежде
кинсасьлаӈкве,отыскивать,
